engineer,merged_prs,weighted_pr_output,avg_cycle_time_hours,median_cycle_time_hours,complex_pr_count,bug_fix_prs,hotfix_prs,refactor_prs,infra_prs,core_area_touch_count,reviews_given,distinct_prs_reviewed,unblocks,review_response_time_hours,distinct_engineers_helped,weighted_pr_output_norm,merged_prs_norm,avg_cycle_time_hours_inv_norm,unblocks_norm,reviews_given_norm,distinct_engineers_helped_norm,bug_fix_prs_norm,hotfix_prs_norm,core_area_touch_count_norm,refactor_prs_norm,product_score,team_score,technical_score,impact_score,impact_rank,summary
sampennington,26.0,28.742623146107572,13.809658119658119,13.90986111111111,0.0,14.0,0.0,1.0,0.0,26.0,54.0,35.0,46.0,7.295443262411347,9.0,1.0,1.0,0.7157882369240659,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9431576473848132,1.0,0.7500000000000001,0.9022630589539253,1,"Shipped 26 merged PRs (avg cycle time 14h). Reviewed 54 PRs, across 9 contributors, unblocking 46 merges. Technical: 14 bug fixes, 26 core-area touches. Strongest signal: reviewing & unblocking others."
pauldambra,22.0,24.647156868584588,12.492159090909091,6.304166666666667,0.0,13.0,0.0,2.0,0.0,20.0,32.0,22.0,25.0,8.675853174603175,10.0,1.0,1.0,0.7429032254753438,0.9940357852882707,0.8743169398907112,1.0,1.0,0.0,1.0,1.0,0.9485806450950688,0.9596111853469351,0.7500000000000001,0.8923156136421082,2,"Shipped 22 merged PRs (avg cycle time 12h). Reviewed 32 PRs, across 10 contributors, unblocking 25 merges. Technical: 13 bug fixes, 20 core-area touches. Strongest signal: reviewing & unblocking others."
jurajmajerik,23.0,26.168014771576626,6.299239130434782,1.0477777777777777,2.0,15.0,0.0,1.0,1.0,22.0,31.0,22.0,25.0,7.6137007168458775,6.0,1.0,1.0,0.8703575538376829,0.9940357852882707,0.8469945355191265,0.6666666666666666,1.0,0.0,1.0,1.0,0.9740715107675366,0.8680811307021264,0.7500000000000001,0.8750529435176526,3,"Shipped 23 merged PRs (avg cycle time 6h). including 2 complex cross-directory changes. Reviewed 31 PRs, across 6 contributors, unblocking 25 merges. Technical: 15 bug fixes, 22 core-area touches. Strongest signal: shipping code."
andrewm4894,13.0,13.921471399924554,6.133846153846154,1.0347222222222223,0.0,7.0,0.0,0.0,0.0,2.0,122.0,26.0,28.0,6.2689874551971325,7.0,0.9033029472262261,0.9774436090225577,0.873761449073128,1.0,1.0,0.7777777777777778,0.8588957055214733,0.0,0.18181818181818182,0.0,0.9196368461345059,0.9444444444444444,0.37992191857222574,0.7651646473588034,4,"Shipped 13 merged PRs (avg cycle time 6h). Reviewed 122 PRs, across 7 contributors, unblocking 28 merges. Technical: 7 bug fixes, 2 core-area touches. Strongest signal: reviewing & unblocking others."
thmsobrmlr,22.0,23.86294498381877,13.760492424242425,10.04888888888889,0.0,12.0,0.0,7.0,0.0,22.0,14.0,13.0,10.0,13.36169191919192,5.0,1.0,1.0,0.7168000989742247,0.3976143141153083,0.38251366120218616,0.5555555555555556,1.0,0.0,1.0,1.0,0.943360019794845,0.4325694286014335,0.7500000000000001,0.7321148364983681,5,"Shipped 22 merged PRs (avg cycle time 14h). Reviewed 14 PRs, across 5 contributors, unblocking 10 merges. Technical: 12 bug fixes, 22 core-area touches. Strongest signal: shipping code."
rnegron,13.0,14.680358171024679,25.97117521367521,3.922222222222222,1.0,4.0,0.0,0.0,8.0,3.0,36.0,33.0,24.0,14.148563218390805,11.0,0.9525437664796745,0.9774436090225577,0.46549629015614125,0.9542743538767399,0.98360655737705,1.0,0.49079754601227044,0.0,0.2727272727272727,0.0,0.8626042239778329,0.974505426457648,0.25086447295036274,0.7126526594135365,6,"Shipped 13 merged PRs (avg cycle time 26h). including 1 complex cross-directory change. Reviewed 36 PRs, across 11 contributors, unblocking 24 merges. Technical: 4 bug fixes, 3 core-area touches. Strongest signal: reviewing & unblocking others."
gantoine,11.0,13.468936009688884,22.751767676767678,18.156944444444445,2.0,1.0,0.0,1.0,4.0,2.0,57.0,51.0,36.0,9.019092140921408,24.0,0.873939919426861,0.8270676691729334,0.5317537951715581,1.0,1.0,1.0,0.12269938650306761,0.0,0.18181818181818182,1.0,0.7914410194996222,1.0,0.2354433909648634,0.6872094250893079,7,"Shipped 11 merged PRs (avg cycle time 23h). including 2 complex cross-directory changes. Reviewed 57 PRs, across 24 contributors, unblocking 36 merges. Technical: 1 bug fix, 2 core-area touches. Strongest signal: reviewing & unblocking others."
lucasheriques,10.0,12.776647408025095,8.930972222222222,5.329444444444444,0.0,7.0,0.0,0.0,0.0,9.0,16.0,14.0,13.0,3.3191865079365077,10.0,0.8290203619857264,0.7518796992481213,0.816194771857045,0.5168986083499008,0.4371584699453556,1.0,0.8588957055214733,0.0,0.8181818181818182,0.0,0.8033130451387085,0.613751914741062,0.507194645844953,0.6576091862312878,8,"Shipped 10 merged PRs (avg cycle time 9h). Reviewed 16 PRs, across 10 contributors, unblocking 13 merges. Technical: 7 bug fixes, 9 core-area touches. Strongest signal: shipping code."
adamleithp,18.0,21.411320904560526,2.8170524691358025,0.5,1.0,8.0,0.0,1.0,1.0,2.0,7.0,7.0,4.0,3.1738194444444443,5.0,1.0,1.0,0.942023224471373,0.15904572564612332,0.19125683060109308,0.5555555555555556,0.9815950920245409,0.0,0.18181818181818182,1.0,0.9884046448942747,0.2678365146099723,0.5790016731734527,0.6494133142927374,9,"Shipped 18 merged PRs (avg cycle time 3h). including 1 complex cross-directory change. Reviewed 7 PRs, across 5 contributors, unblocking 4 merges. Technical: 8 bug fixes, 2 core-area touches. Strongest signal: shipping code."
MattBro,10.0,11.341254194214466,14.910361111111111,11.793055555555554,0.0,4.0,0.0,0.0,1.0,10.0,34.0,10.0,26.0,21.1331045751634,2.0,0.7358840200563315,0.7518796992481213,0.6931350520940598,1.0,0.9289617486338807,0.2222222222222222,0.49079754601227044,0.0,0.9090909090909091,0.0,0.732132930221414,0.7842440801457198,0.37813720022309,0.6415675561992085,10,"Shipped 10 merged PRs (avg cycle time 15h). Reviewed 34 PRs, across 2 contributors, unblocking 26 merges. Technical: 4 bug fixes, 10 core-area touches. Strongest signal: reviewing & unblocking others."
